"idx","nome","categoria","subcategoria","grupoContabil","confianca"
"687","Perolizado Verde Luminoso","Matéria-Prima — Tintas e Toners (Cor)","Toners de efeito (alumínios, perolizados, xirallic)","MATÉRIA-PRIMA › Tintas","alta"
"688","Bateria 4.0ah","Ferramentas Elétricas/Pneumáticas e Equipamentos","Baterias e carregadores","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","alta"
"689","Engate Rapido Macho (int)","Ferramentas Elétricas/Pneumáticas e Equipamentos","Linha de ar comprimido","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","alta"
"690","Bobina Papel Tk","Mascaramento e Cobertura","Papel e bobina de cobertura","PRODUTIVO › Fita Crepe / Papel / Máscara","alta"
"691","Adesivo Selante Preto","Funilaria e Reparo de Carroceria","Selantes e vedantes de carroceria","PRODUTIVO › Massas","alta"
"692","Máscara Semi Facial Média","EPI — Equipamentos de Proteção Individual","Proteção respiratória — máscaras e respiradores","EPI","alta"
"693","Clear Epoxi","Matéria-Prima — Fundos, Vernizes e Auxiliares Químicos","Vernizes e clears (acabamento)","MATÉRIA-PRIMA › Tintas (fundo/acabamento) e Thinner/Removedor","alta"
"694","Abraçadeira Nylon Natural","Peças, Fixação e Conexões","Abraçadeiras e presilhas","PRODUTIVO › Peças / MANUTENÇÃO (reposição de equipamento)","alta"
"695","Preto Azulado","Matéria-Prima — Tintas e Toners (Cor)","Toners / Bases tintométricas (corantes de cor)","MATÉRIA-PRIMA › Tintas","alta"
"696","Disco de Interface","Abrasivos e Polimento","Suportes e bases de abrasivos","PRODUTIVO › Consumíveis abrasivos (sugerir subconta 'Abrasivos')","alta"
"697","Soprador Térmico","Ferramentas Elétricas/Pneumáticas e Equipamentos","Fontes de calor (maçarico/soprador)","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","alta"
"698","Calça","Uniforme / Fardamento","Uniforme — parte inferior","EPI (separável de EPI de segurança — sem exigência de CA)","alta"
"699","Soquete Sextavado 10 Longo","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"700","Parafuso Torx Inox","Peças, Fixação e Conexões","Fixadores — parafusos e porcas","PRODUTIVO › Peças / MANUTENÇÃO (reposição de equipamento)","alta"
"701","Calça","Uniforme / Fardamento","Uniforme — parte inferior","EPI (separável de EPI de segurança — sem exigência de CA)","alta"
"702","Camiseta","Uniforme / Fardamento","Uniforme — parte superior","EPI (separável de EPI de segurança — sem exigência de CA)","alta"
"703","Soquete Hexagonal 4","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"704","Chave Biela L10","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"705","Resina Laminação","Funilaria e Reparo de Carroceria","Laminação e fibra de vidro","PRODUTIVO › Massas","media"
"706","Combinada Articulada 13","Ferramentas Manuais e Medição","Chaves de fenda, catraca e alicates","INVESTIMENTO › Internos (ativo durável)","alta"
"707","Maçarico","Ferramentas Elétricas/Pneumáticas e Equipamentos","Fontes de calor (maçarico/soprador)","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","alta"
"708","Soprador Térmico Bateria","Ferramentas Elétricas/Pneumáticas e Equipamentos","Fontes de calor (maçarico/soprador)","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","alta"
"709","Combinada Catraca 11","Ferramentas Manuais e Medição","Chaves de fenda, catraca e alicates","INVESTIMENTO › Internos (ativo durável)","alta"
"710","Botina Reposição - 43","EPI — Equipamentos de Proteção Individual","Calçados de segurança","EPI","alta"
"711","Lixa Folha D'agua P220","Abrasivos e Polimento","Lixas em folha (manual / d'água)","PRODUTIVO › Consumíveis abrasivos (sugerir subconta 'Abrasivos')","alta"
"712","Bit T-30","Ferramentas Elétricas/Pneumáticas e Equipamentos","Ferramentas de fixação e furação","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","media"
"713","Bisnaga Pisseta","Aplicadores e Auxiliares de Mistura","Dosagem, transferência e filtragem","PRODUTIVO › Consumíveis de aplicação","alta"
"714","Mangueira de Água","Peças, Fixação e Conexões","Mangueiras, conduletes e suportes (hidráulica/elétrica de parede)","PRODUTIVO › Peças / MANUTENÇÃO (reposição de equipamento)","alta"
"715","Vassoura de Palha","Apoio — Escritório, Cozinha, Limpeza e Cortesia","Higiene e limpeza/zeladoria","ESCRITÓRIO / COZINHA-ALIMENTAÇÃO / DESPESAS FIXAS / Cortesia","alta"
"716","Verniz Pu Auto S/FO (3,6L)","Matéria-Prima — Fundos, Vernizes e Auxiliares Químicos","Vernizes e clears (acabamento)","MATÉRIA-PRIMA › Tintas (fundo/acabamento) e Thinner/Removedor","alta"
"717","Extensão Elétrica","Ferramentas Elétricas/Pneumáticas e Equipamentos","Acesso, apoio e infraestrutura elétrica","INVESTIMENTO › Internos (equipamentos); acessórios consumíveis em MANUTENÇÃO","alta"
"718","Primer Spectra 2k","Matéria-Prima — Fundos, Vernizes e Auxiliares Químicos","Primers, wash primers e seladoras (fundos)","MATÉRIA-PRIMA › Tintas (fundo/acabamento) e Thinner/Removedor","alta"
"719","Extensor P/ Soquete Grande","Ferramentas Manuais e Medição","Chaves e soquetes (parafusaria)","INVESTIMENTO › Internos (ativo durável)","alta"
"720","Galocha - 42","EPI — Equipamentos de Proteção Individual","Calçados de segurança","EPI","alta"
"721","Trena 5m","Ferramentas Manuais e Medição","Instrumentos de medição e alinhamento","INVESTIMENTO › Internos (ativo durável)","alta"
"722","Adesivo","Plotagem e Adesivação","Vinil de recorte / adesivo colorido","PRODUTIVO › Adesivos / Máscara / Impressão","baixa"
"723","Calça","Uniforme / Fardamento","Uniforme — parte inferior","EPI (separável de EPI de segurança — sem exigência de CA)","alta"
"724","Desengraxante","Matéria-Prima — Fundos, Vernizes e Auxiliares Químicos","Preparadores de superfície (desengraxante/removedor)","MATÉRIA-PRIMA › Tintas (fundo/acabamento) e Thinner/Removedor","alta"
"725","Faixa Refletiva Para Choque","Plotagem e Adesivação","Faixas e películas refletivas","PRODUTIVO › Adesivos / Máscara / Impressão","alta"
"726","Adesivo Selante Cinza","Funilaria e Reparo de Carroceria","Selantes e vedantes de carroceria","PRODUTIVO › Massas","alta"
"727","Verniz","Matéria-Prima — Fundos, Vernizes e Auxiliares Químicos","Vernizes e clears (acabamento)","MATÉRIA-PRIMA › Tintas (fundo/acabamento) e Thinner/Removedor","alta"
"728","Lixa Hookit P220","Abrasivos e Polimento","Discos de lixa Hookit (orbital / velcro)","PRODUTIVO › Consumíveis abrasivos (sugerir subconta 'Abrasivos')","alta"
"729","Fita Crepe Amarela","Mascaramento e Cobertura","Fita crepe / fita de mascaramento","PRODUTIVO › Fita Crepe / Papel / Máscara","alta"
